 branch       t        N        S       dN/dS    dN       dS        N*dN   S*dS
1484..300     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1482..1485     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1485..320     0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
1485..1486     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1486..1487     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1487..877     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1487..677     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1486..1488     0.006    420.6    164.4   0.0968   0.0005   0.0054    0.2    0.9
1488..911     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1488..1489     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1489..86      0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1489..722     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1467..1490     0.009    420.6    164.4   0.0968   0.0008   0.0086    0.4    1.4
1490..1491     0.012    420.6    164.4   0.0968   0.0011   0.0111    0.5    1.8
1491..913     0.008    420.6    164.4   0.0968   0.0008   0.0078    0.3    1.3
1491..898     0.009    420.6    164.4   0.0968   0.0008   0.0086    0.3    1.4
1490..1492     0.003    420.6    164.4   0.0968   0.0003   0.0029    0.1    0.5
1492..1493     0.025    420.6    164.4   0.0968   0.0023   0.0238    1.0    3.9
1493..759     0.003    420.6    164.4   0.0968   0.0003   0.0029    0.1    0.5
1493..1494     0.004    420.6    164.4   0.0968   0.0003   0.0034    0.1    0.6
1494..849     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1494..1495     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1495..655     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1495..297     0.003    420.6    164.4   0.0968   0.0003   0.0030    0.1    0.5
1492..859     0.038    420.6    164.4   0.0968   0.0035   0.0357    1.5    5.9
1466..1496     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1496..1497     0.011    420.6    164.4   0.0968   0.0010   0.0107    0.4    1.8
1497..640     0.014    420.6    164.4   0.0968   0.0013   0.0137    0.6    2.3
1497..1498     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1498..577     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1498..229     0.021    420.6    164.4   0.0968   0.0020   0.0202    0.8    3.3
1496..1499     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1499..1500     0.017    420.6    164.4   0.0968   0.0016   0.0163    0.7    2.7
1500..1501     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1501..210     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1501..626     0.006    420.6    164.4   0.0968   0.0005   0.0054    0.2    0.9
1500..1502     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1502..505     0.006    420.6    164.4   0.0968   0.0005   0.0054    0.2    0.9
1502..520     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1499..1503     0.029    420.6    164.4   0.0968   0.0027   0.0276    1.1    4.5
1503..741     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1503..1504     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1504..288     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1504..539     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1465..1505     0.041    420.6    164.4   0.0968   0.0038   0.0391    1.6    6.4
1505..73      0.010    420.6    164.4   0.0968   0.0009   0.0094    0.4    1.5
1505..471     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1463..775     0.029    420.6    164.4   0.0968   0.0026   0.0272    1.1    4.5
1462..1506     0.022    420.6    164.4   0.0968   0.0020   0.0209    0.8    3.4
1506..771     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1506..1507     0.006    420.6    164.4   0.0968   0.0005   0.0054    0.2    0.9
1507..241     0.008    420.6    164.4   0.0968   0.0008   0.0080    0.3    1.3
1507..1508     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1508..141     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1508..424     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1445..1509     0.010    420.6    164.4   0.0968   0.0009   0.0094    0.4    1.6
1509..834     0.073    420.6    164.4   0.0968   0.0067   0.0694    2.8   11.4
1509..1510     0.086    420.6    164.4   0.0968   0.0079   0.0817    3.3   13.4
1510..1511     0.005    420.6    164.4   0.0968   0.0005   0.0051    0.2    0.8
1511..1512     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1512..1513     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1513..1514     0.006    420.6    164.4   0.0968   0.0005   0.0055    0.2    0.9
1514..521     0.012    420.6    164.4   0.0968   0.0011   0.0113    0.5    1.8
1514..336     0.015    420.6    164.4   0.0968   0.0014   0.0140    0.6    2.3
1513..175     0.009    420.6    164.4   0.0968   0.0008   0.0083    0.3    1.4
1512..613     0.006    420.6    164.4   0.0968   0.0005   0.0055    0.2    0.9
1511..1515     0.012    420.6    164.4   0.0968   0.0011   0.0111    0.5    1.8
1515..1516     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1516..444     0.015    420.6    164.4   0.0968   0.0013   0.0139    0.6    2.3
1516..1517     0.005    420.6    164.4   0.0968   0.0005   0.0050    0.2    0.8
1517..1518     0.005    420.6    164.4   0.0968   0.0005   0.0049    0.2    0.8
1518..495     0.008    420.6    164.4   0.0968   0.0008   0.0078    0.3    1.3
1518..1519     0.001    420.6    164.4   0.0968   0.0001   0.0010    0.0    0.2
1519..39      0.021    420.6    164.4   0.0968   0.0019   0.0196    0.8    3.2
1519..907     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1517..430     0.009    420.6    164.4   0.0968   0.0008   0.0087    0.4    1.4
1515..791     0.036    420.6    164.4   0.0968   0.0033   0.0340    1.4    5.6
1510..69      0.006    420.6    164.4   0.0968   0.0005   0.0054    0.2    0.9
1444..1520     0.030    420.6    164.4   0.0968   0.0028   0.0286    1.2    4.7
1520..1521     0.011    420.6    164.4   0.0968   0.0010   0.0102    0.4    1.7
1521..807     0.064    420.6    164.4   0.0968   0.0059   0.0612    2.5   10.1
1521..1522     0.072    420.6    164.4   0.0968   0.0066   0.0681    2.8   11.2
1522..1523     0.071    420.6    164.4   0.0968   0.0066   0.0679    2.8   11.2
1523..1524     0.029    420.6    164.4   0.0968   0.0027   0.0277    1.1    4.5
1524..287     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.5
1524..1525     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1525..648     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1525..586     0.006    420.6    164.4   0.0968   0.0006   0.0057    0.2    0.9
1523..1526     0.032    420.6    164.4   0.0968   0.0029   0.0305    1.2    5.0
1526..246     0.019    420.6    164.4   0.0968   0.0018   0.0184    0.8    3.0
1526..1527     0.022    420.6    164.4   0.0968   0.0021   0.0213    0.9    3.5
1527..1528     0.013    420.6    164.4   0.0968   0.0012   0.0126    0.5    2.1
1528..946     0.015    420.6    164.4   0.0968   0.0014   0.0143    0.6    2.4
1528..576     0.022    420.6    164.4   0.0968   0.0020   0.0211    0.9    3.5
1527..1529     0.009    420.6    164.4   0.0968   0.0008   0.0082    0.3    1.3
1529..1530     0.002    420.6    164.4   0.0968   0.0002   0.0020    0.1    0.3
1530..1531     0.009    420.6    164.4   0.0968   0.0009   0.0088    0.4    1.5
1531..364     0.053    420.6    164.4   0.0968   0.0049   0.0508    2.1    8.4
1531..918     0.026    420.6    164.4   0.0968   0.0024   0.0250    1.0    4.1
1530..1532     0.003    420.6    164.4   0.0968   0.0003   0.0031    0.1    0.5
1532..596     0.028    420.6    164.4   0.0968   0.0026   0.0269    1.1    4.4
1532..1533     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1533..750     0.053    420.6    164.4   0.0968   0.0048   0.0500    2.0    8.2
1533..1534     0.017    420.6    164.4   0.0968   0.0016   0.0166    0.7    2.7
1534..290     0.053    420.6    164.4   0.0968   0.0049   0.0504    2.0    8.3
1534..508     0.041    420.6    164.4   0.0968   0.0038   0.0393    1.6    6.5
1529..621     0.023    420.6    164.4   0.0968   0.0022   0.0222    0.9    3.7
1522..957     0.025    420.6    164.4   0.0968   0.0023   0.0236    1.0    3.9
1520..1535     0.026    420.6    164.4   0.0968   0.0024   0.0244    1.0    4.0
1535..411     0.008    420.6    164.4   0.0968   0.0007   0.0073    0.3    1.2
1535..683     0.007    420.6    164.4   0.0968   0.0006   0.0065    0.3    1.1
1107..1536     0.003    420.6    164.4   0.0968   0.0003   0.0031    0.1    0.5
1536..1537     0.057    420.6    164.4   0.0968   0.0052   0.0538    2.2    8.8
1537..550     0.010    420.6    164.4   0.0968   0.0009   0.0091    0.4    1.5
1537..1538     0.022    420.6    164.4   0.0968   0.0021   0.0212    0.9    3.5
1538..867     0.054    420.6    164.4   0.0968   0.0050   0.0517    2.1    8.5
1538..470     0.015    420.6    164.4   0.0968   0.0014   0.0140    0.6    2.3
1536..1539     0.039    420.6    164.4   0.0968   0.0036   0.0372    1.5    6.1
1539..1540     0.009    420.6    164.4   0.0968   0.0008   0.0083    0.3    1.4
1540..367     0.031    420.6    164.4   0.0968   0.0028   0.0292    1.2    4.8
1540..1541     0.026    420.6    164.4   0.0968   0.0024   0.0248    1.0    4.1
1541..462     0.019    420.6    164.4   0.0968   0.0017   0.0177    0.7    2.9
1541..446     0.037    420.6    164.4   0.0968   0.0034   0.0352    1.4    5.8
1539..1542     0.018    420.6    164.4   0.0968   0.0017   0.0173    0.7    2.8
1542..1543     0.036    420.6    164.4   0.0968   0.0033   0.0342    1.4    5.6
1543..1544     0.168    420.6    164.4   0.0968   0.0155   0.1600    6.5   26.3
1544..1545     0.053    420.6    164.4   0.0968   0.0049   0.0508    2.1    8.3
1545..70      0.027    420.6    164.4   0.0968   0.0025   0.0257    1.0    4.2
1545..691     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1544..1546     0.009    420.6    164.4   0.0968   0.0009   0.0088    0.4    1.5
1546..784     0.042    420.6    164.4   0.0968   0.0038   0.0396    1.6    6.5
1546..855     0.008    420.6    164.4   0.0968   0.0007   0.0077    0.3    1.3
1543..1547     0.013    420.6    164.4   0.0968   0.0012   0.0120    0.5    2.0
1547..847     0.012    420.6    164.4   0.0968   0.0011   0.0118    0.5    1.9
1547..58      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1542..1548     0.015    420.6    164.4   0.0968   0.0014   0.0141    0.6    2.3
1548..1549     0.019    420.6    164.4   0.0968   0.0018   0.0183    0.7    3.0
1549..108     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1549..55      0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1548..1550     0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
1550..174     0.015    420.6    164.4   0.0968   0.0014   0.0144    0.6    2.4
1550..296     0.034    420.6    164.4   0.0968   0.0031   0.0324    1.3    5.3
 985..1551     0.089    420.6    164.4   0.0968   0.0082   0.0850    3.5   14.0
1551..1552     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1552..151     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1552..742     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1551..1553     0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
1553..933     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1553..315     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
 984..1554     0.006    420.6    164.4   0.0968   0.0005   0.0055    0.2    0.9
1554..1555     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1555..1556     0.014    420.6    164.4   0.0968   0.0013   0.0138    0.6    2.3
1556..1557     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1557..605     0.017    420.6    164.4   0.0968   0.0016   0.0165    0.7    2.7
1557..1558     0.004    420.6    164.4   0.0968   0.0004   0.0042    0.2    0.7
1558..769     0.013    420.6    164.4   0.0968   0.0012   0.0121    0.5    2.0
1558..1559     0.009    420.6    164.4   0.0968   0.0008   0.0081    0.3    1.3
1559..878     0.009    420.6    164.4   0.0968   0.0008   0.0081    0.3    1.3
1559..608     0.011    420.6    164.4   0.0968   0.0010   0.0108    0.4    1.8
1556..1560     0.003    420.6    164.4   0.0968   0.0002   0.0024    0.1    0.4
1560..1561     0.006    420.6    164.4   0.0968   0.0006   0.0059    0.2    1.0
1561..143     0.040    420.6    164.4   0.0968   0.0037   0.0379    1.5    6.2
1561..3       0.041    420.6    164.4   0.0968   0.0038   0.0390    1.6    6.4
1560..1562     0.034    420.6    164.4   0.0968   0.0031   0.0319    1.3    5.2
1562..489     0.010    420.6    164.4   0.0968   0.0009   0.0098    0.4    1.6
1562..196     0.012    420.6    164.4   0.0968   0.0011   0.0117    0.5    1.9
1555..1563     0.010    420.6    164.4   0.0968   0.0009   0.0091    0.4    1.5
1563..952     0.054    420.6    164.4   0.0968   0.0050   0.0516    2.1    8.5
1563..1564     0.004    420.6    164.4   0.0968   0.0003   0.0034    0.1    0.6
1564..1565     0.016    420.6    164.4   0.0968   0.0015   0.0156    0.6    2.6
1565..744     0.036    420.6    164.4   0.0968   0.0033   0.0339    1.4    5.6
1565..459     0.050    420.6    164.4   0.0968   0.0046   0.0473    1.9    7.8
1564..1566     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1566..37      0.028    420.6    164.4   0.0968   0.0025   0.0263    1.1    4.3
1566..185     0.082    420.6    164.4   0.0968   0.0075   0.0779    3.2   12.8
1554..1567     0.025    420.6    164.4   0.0968   0.0023   0.0236    1.0    3.9
1567..1568     0.007    420.6    164.4   0.0968   0.0006   0.0066    0.3    1.1
1568..687     0.031    420.6    164.4   0.0968   0.0029   0.0298    1.2    4.9
1568..1569     0.003    420.6    164.4   0.0968   0.0003   0.0029    0.1    0.5
1569..906     0.025    420.6    164.4   0.0968   0.0023   0.0239    1.0    3.9
1569..1570     0.009    420.6    164.4   0.0968   0.0008   0.0084    0.3    1.4
1570..388     0.014    420.6    164.4   0.0968   0.0013   0.0138    0.6    2.3
1570..394     0.026    420.6    164.4   0.0968   0.0024   0.0248    1.0    4.1
1567..1571     0.004    420.6    164.4   0.0968   0.0004   0.0041    0.2    0.7
1571..282     0.027    420.6    164.4   0.0968   0.0025   0.0260    1.1    4.3
1571..766     0.024    420.6    164.4   0.0968   0.0022   0.0226    0.9    3.7
 979..1572     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1572..1573     0.029    420.6    164.4   0.0968   0.0027   0.0278    1.1    4.6
1573..208     0.037    420.6    164.4   0.0968   0.0034   0.0355    1.4    5.8
1573..366     0.053    420.6    164.4   0.0968   0.0049   0.0504    2.1    8.3
1572..1574     0.003    420.6    164.4   0.0968   0.0003   0.0031    0.1    0.5
1574..1575     0.000    420.6    164.4   0.0968   0.0000   0.0001    0.0    0.0
1575..1576     0.006    420.6    164.4   0.0968   0.0006   0.0062    0.3    1.0
1576..1577     0.015    420.6    164.4   0.0968   0.0014   0.0140    0.6    2.3
1577..1578     0.027    420.6    164.4   0.0968   0.0025   0.0256    1.0    4.2
1578..348     0.019    420.6    164.4   0.0968   0.0017   0.0179    0.7    2.9
1578..1579     0.032    420.6    164.4   0.0968   0.0030   0.0306    1.2    5.0
1579..1580     0.003    420.6    164.4   0.0968   0.0003   0.0030    0.1    0.5
1580..1581     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1581..510     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1581..623     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1580..33      0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1579..468     0.017    420.6    164.4   0.0968   0.0016   0.0162    0.7    2.7
1577..1582     0.009    420.6    164.4   0.0968   0.0008   0.0088    0.4    1.4
1582..1583     0.045    420.6    164.4   0.0968   0.0042   0.0431    1.8    7.1
1583..702     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1583..226     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1582..837     0.051    420.6    164.4   0.0968   0.0047   0.0483    2.0    7.9
1576..1584     0.041    420.6    164.4   0.0968   0.0038   0.0391    1.6    6.4
1584..659     0.003    420.6    164.4   0.0968   0.0003   0.0029    0.1    0.5
1584..273     0.006    420.6    164.4   0.0968   0.0005   0.0054    0.2    0.9
1575..1585     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1585..1586     0.009    420.6    164.4   0.0968   0.0009   0.0089    0.4    1.5
1586..1587     0.006    420.6    164.4   0.0968   0.0006   0.0058    0.2    1.0
1587..7       0.042    420.6    164.4   0.0968   0.0039   0.0401    1.6    6.6
1587..1588     0.004    420.6    164.4   0.0968   0.0003   0.0035    0.1    0.6
1588..1589     0.029    420.6    164.4   0.0968   0.0027   0.0274    1.1    4.5
1589..762     0.015    420.6    164.4   0.0968   0.0014   0.0141    0.6    2.3
1589..698     0.038    420.6    164.4   0.0968   0.0035   0.0360    1.5    5.9
1588..1590     0.006    420.6    164.4   0.0968   0.0006   0.0061    0.2    1.0
1590..1591     0.013    420.6    164.4   0.0968   0.0012   0.0122    0.5    2.0
1591..893     0.027    420.6    164.4   0.0968   0.0024   0.0253    1.0    4.2
1591..1592     0.003    420.6    164.4   0.0968   0.0003   0.0029    0.1    0.5
1592..1593     0.052    420.6    164.4   0.0968   0.0048   0.0492    2.0    8.1
1593..60      0.006    420.6    164.4   0.0968   0.0006   0.0057    0.2    0.9
1593..166     0.006    420.6    164.4   0.0968   0.0005   0.0055    0.2    0.9
1592..74      0.060    420.6    164.4   0.0968   0.0055   0.0570    2.3    9.4
1590..1594     0.019    420.6    164.4   0.0968   0.0017   0.0177    0.7    2.9
1594..34      0.062    420.6    164.4   0.0968   0.0057   0.0591    2.4    9.7
1594..1595     0.005    420.6    164.4   0.0968   0.0005   0.0051    0.2    0.8
1595..1596     0.012    420.6    164.4   0.0968   0.0011   0.0115    0.5    1.9
1596..474     0.072    420.6    164.4   0.0968   0.0067   0.0688    2.8   11.3
1596..897     0.055    420.6    164.4   0.0968   0.0051   0.0524    2.1    8.6
1595..502     0.055    420.6    164.4   0.0968   0.0051   0.0524    2.1    8.6
1586..1597     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1597..1598     0.003    420.6    164.4   0.0968   0.0002   0.0025    0.1    0.4
1598..1599     0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
1599..1600     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1600..938     0.051    420.6    164.4   0.0968   0.0047   0.0482    2.0    7.9
1600..1601     0.006    420.6    164.4   0.0968   0.0005   0.0055    0.2    0.9
1601..1602     0.023    420.6    164.4   0.0968   0.0021   0.0216    0.9    3.6
1602..395     0.021    420.6    164.4   0.0968   0.0020   0.0202    0.8    3.3
1602..1603     0.003    420.6    164.4   0.0968   0.0002   0.0025    0.1    0.4
1603..610     0.004    420.6    164.4   0.0968   0.0003   0.0034    0.1    0.6
1603..1604     0.005    420.6    164.4   0.0968   0.0005   0.0050    0.2    0.8
1604..484     0.006    420.6    164.4   0.0968   0.0005   0.0055    0.2    0.9
1604..59      0.005    420.6    164.4   0.0968   0.0005   0.0050    0.2    0.8
1601..1605     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1605..1606     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1606..627     0.023    420.6    164.4   0.0968   0.0021   0.0221    0.9    3.6
1606..1607     0.006    420.6    164.4   0.0968   0.0005   0.0053    0.2    0.9
1607..1608     0.009    420.6    164.4   0.0968   0.0008   0.0082    0.3    1.4
1608..1609     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1609..268     0.021    420.6    164.4   0.0968   0.0019   0.0197    0.8    3.2
1609..1610     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1610..1611     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1611..1612     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1612..1613     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1613..1614     0.003    420.6    164.4   0.0968   0.0002   0.0025    0.1    0.4
1614..1615     0.015    420.6    164.4   0.0968   0.0014   0.0142    0.6    2.3
1615..40      0.006    420.6    164.4   0.0968   0.0005   0.0056    0.2    0.9
1615..851     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1614..1616     0.009    420.6    164.4   0.0968   0.0008   0.0084    0.3    1.4
1616..559     0.015    420.6    164.4   0.0968   0.0014   0.0145    0.6    2.4
1616..1617     0.009    420.6    164.4   0.0968   0.0008   0.0083    0.3    1.4
1617..705     0.006    420.6    164.4   0.0968   0.0005   0.0056    0.2    0.9
1617..235     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1613..500     0.026    420.6    164.4   0.0968   0.0024   0.0249    1.0    4.1
1612..767     0.006    420.6    164.4   0.0968   0.0005   0.0056    0.2    0.9
1611..703     0.015    420.6    164.4   0.0968   0.0014   0.0142    0.6    2.3
1610..1618     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1618..1619     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1619..372     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1619..1620     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1620..809     0.021    420.6    164.4   0.0968   0.0019   0.0200    0.8    3.3
1620..506     0.012    420.6    164.4   0.0968   0.0011   0.0110    0.4    1.8
1618..1621     0.008    420.6    164.4   0.0968   0.0008   0.0081    0.3    1.3
1621..1622     0.011    420.6    164.4   0.0968   0.0011   0.0109    0.4    1.8
1622..194     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1622..79      0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
1621..149     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1608..1623     0.023    420.6    164.4   0.0968   0.0021   0.0219    0.9    3.6
1623..1624     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1624..902     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1624..1625     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1625..1626     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1626..1627     0.006    420.6    164.4   0.0968   0.0005   0.0054    0.2    0.9
1627..706     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1627..840     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1626..306     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1625..1628     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1628..709     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1628..1629     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1629..1630     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1630..1631     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1631..353     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1631..1632     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1632..752     0.006    420.6    164.4   0.0968   0.0005   0.0055    0.2    0.9
1632..1633     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1633..262     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1633..417     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1630..1634     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1634..1635     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1635..1636     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1636..1637     0.006    420.6    164.4   0.0968   0.0005   0.0055    0.2    0.9
1637..155     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1637..338     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1636..1638     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1638..686     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1638..67      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1635..1639     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1639..1640     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1640..1641     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1641..926     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1641..1642     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1642..863     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1642..1643     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.5
1643..63      0.018    420.6    164.4   0.0968   0.0016   0.0170    0.7    2.8
1643..693     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1640..56      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1639..1644     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1644..827     0.009    420.6    164.4   0.0968   0.0008   0.0085    0.3    1.4
1644..1645     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1645..82      0.006    420.6    164.4   0.0968   0.0005   0.0055    0.2    0.9
1645..309     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1634..1646     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1646..1647     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1647..271     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1647..239     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1646..552     0.006    420.6    164.4   0.0968   0.0005   0.0055    0.2    0.9
1629..915     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1623..1648     0.003    420.6    164.4   0.0968   0.0003   0.0028    0.1    0.5
1648..62      0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1648..448     0.006    420.6    164.4   0.0968   0.0005   0.0056    0.2    0.9
1607..1649     0.006    420.6    164.4   0.0968   0.0005   0.0054    0.2    0.9
1649..1650     0.009    420.6    164.4   0.0968   0.0008   0.0082    0.3    1.3
1650..344     0.009    420.6    164.4   0.0968   0.0008   0.0083    0.3    1.4
1650..481     0.008    420.6    164.4   0.0968   0.0008   0.0081    0.3    1.3
1649..1651     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1651..1652     0.003    420.6    164.4   0.0968   0.0003   0.0026    0.1    0.4
1652..629     0.035    420.6    164.4   0.0968   0.0032   0.0334    1.4    5.5
1652..1653     0.006    420.6    164.4   0.0968   0.0005   0.0054    0.2    0.9
1653..607     0.000    420.6    164.4   0.0968   0.0000   0.0000    0.0    0.0
1653..1654     0.003    420.6    164.4   0.0968   0.0003   0.0027    0.1    0.4
